id;org_name;org_id;level_1;level_2;level_3
1;Belarus;Car;54948;9048;39495
2;Handcrafted e-commerce;Graphic Interface Persevering;83212;49168;34564
3;Tools;deposit;31474;32564;13443
4;input;Algeria secondary Gloves;64400;58908;72462
5;open-source;interactive Toys;39354;48684;36095
6;Books;Licensed;33011;78454;69092
7;Guinea Franc Branding;Exclusive Checking Account Intelligent Steel Car;12899;66222;43486
8;Parkways;Music;77235;5972;94897
9;Trail;Functionality;1981;55177;69209
10;Human innovate;task-force;77629;51100;71617
